"书名","封面图片地址","出版信息","作者","内容简介","标签信息","标签1","标签2","标签3","标签4","标签5","标签6","标签7","标签8"
"看上去很美","https://img3.doubanio.com/view/subject/l/public/s1244542.jpg","作者:                     王朔                  出版社: 云南人民出版社                                                      出版年: 2004-9              页数: 224              定价: 20.00元              装帧: 平装              丛书: 王朔文集                          ISBN: 9787222041226","王朔","作者王朔说这部长篇小说写的“是北京复兴路29号院的一帮孩子,时间是六一年到六六年文化大革命开始,主要地点是幼儿园、翠微小学和那个大院的操场、食堂、宿舍楼之间和楼上的一个家。主要人物有父母、阿姨、老师、一群小朋友和解放军官兵若干。没有坏人，有一个幼儿园的阿姨有一点可笑，仅此而已。”","王朔                  小说                  看上去很美                  中国文学                  当代文学                  童年                  中国                  文学  ","王朔","小说","看上去很美","中国文学","当代文学","童年","中国","文学"
"笑忘录","https://img3.doubanio.com/view/subject/l/public/s5681033.jpg","作者:                         [捷克]            米兰·昆德拉                  出版社: 上海译文出版社                                                   译者:                        王东亮                  出版年: 2004-1              页数: 354              定价: 21.00元              装帧: 平装              丛书: 米兰·昆德拉作品系列（2003版）                          ISBN: 9787532731282","[捷克]            米兰·昆德拉",,"米兰·昆德拉                  小说                  笑忘录                  米兰・昆德拉                  捷克                  外国文学                  文学                  昆德拉  ","米兰·昆德拉","小说","笑忘录","米兰・昆德拉","捷克","外国文学","文学","昆德拉"
"纳博科夫短篇小说全集","https://img3.doubanio.com/view/subject/l/public/s29616411.jpg","作者:                         [美]            弗拉基米尔·纳博科夫                  出版社: 上海译文出版社                                  原作名: The Stories of Vladimir Nabokov                     译者:                        逢珍                  出版年: 2018-1              页数: 840              定价: 98.00元              装帧: 平装              丛书: 纳博科夫作品系列                          ISBN: 9787532775576","[美]            弗拉基米尔·纳博科夫","纳博科夫是二十世纪公认的杰出小说家和文体家。本书 为其短篇小说作品在国内首次完整结集，被称为“英语文学的奇迹”。","纳博科夫                  短篇小说                  外国文学                  小说                  文学                  美国文学                  上海译文出版社                  短篇  ","纳博科夫","短篇小说","外国文学","小说","文学","美国文学","上海译文出版社","短篇"
"离别之音","https://img3.doubanio.com/view/subject/l/public/s9024084.jpg","作者:                         [日]            青山七惠                  出版社: 南海出版公司                                  原作名: お別れの音              译者:                     竺家荣                  出版年: 2012-3              页数: 224              定价: 28.00元              装帧: 精装                                    ISBN: 9787544256865","[日]            青山七惠","六段寻常生活中的遇见与别离，如同六次旧日光阴里的擦肩而过：    欢送会上的百合香，地下街英俊的修鞋匠投来的一瞥，陌生人不知所谓地发来的电邮，多年前路过的苏黎世的点点灯火……    每场离别各自留下了怎样的声音？如何唤醒或扰乱了原本平静的心绪？一个清丽淡雅依旧，却风骨日渐明朗的青山七惠！    《离别之音》每篇故事都有其独立的来龙去脉，每一种声音各自带出不同的意境。踏着青山七惠清清浅浅的文字，走进主角们平平凡凡的世界。那种清浅阅读起来怡然舒适，那种平凡体会起来亲切近人。    《离别之音》整体风格看似清淡，像是一杯色泽温和的红茶，尝了才知是后劲很强的长岛冰茶，留在舌尖上的余韵悠长，激情难忘。","青山七惠                  日本文学                  日本                  小说                  离别之音                  文学                  外国文学                  2012  ","青山七惠","日本文学","日本","小说","离别之音","文学","外国文学","2012"
"你在天堂里遇见的五个人","https://img3.doubanio.com/view/subject/l/public/s2689596.jpg","作者:                         [美]            米奇·阿尔博姆                  出版社: 上海译文出版社                                  原作名: The Five People You Meet in Heaven                     译者:                        赵晓春                  出版年: 2007-7              页数: 221              定价: 17.00元              装帧: 平装              丛书: 米奇·阿尔博姆作品                          ISBN: 9787532742714","[美]            米奇·阿尔博姆",,"你在天堂里遇见的五个人                  米奇·阿尔博姆                  小说                  心灵                  外国文学                  美国                  成长                  感动　人情味  ","你在天堂里遇见的五个人","米奇·阿尔博姆","小说","心灵","外国文学","美国","成长","感动　人情味"
"死于威尼斯","https://img3.doubanio.com/view/subject/l/public/s4368220.jpg","作者:                     Thomas Mann          /                        [德]            托马斯·曼                  出版社: 上海译文出版社                                  原作名: Death in Venice                     译者:                        钱鸿嘉                   /                刘德中                  出版年: 2010-5              页数: 184              定价: 20.00元              装帧: 精装              丛书: 译文经典（精装本）                          ISBN: 9787532750214","Thomas Mann","德国作家前往威尼斯度假，他恋上一个少年，又因为某种机缘滞留威尼斯。此时威尼斯开始流行霍乱，而政府则封锁了消息。作家迷恋少年，长时间地追逐使他精疲力尽，同时他又吃了过于成熟而几近腐烂的草莓，染上霍乱，死于当地。","托马斯·曼                  德国                  小说                  外国文学                  德国文学                  死于威尼斯                  文学                  Thomas_Mann  ","托马斯·曼","德国","小说","外国文学","德国文学","死于威尼斯","文学","Thomas_Mann"
"我弥留之际","https://img3.doubanio.com/view/subject/l/public/s1120450.jpg","作者:                         [美]            福克纳                  出版社: 上海译文出版社                                  原作名: As I Lay Dying                     译者:                        李文俊                  出版年: 2004-4-1              页数: 225              定价: 19.00              装帧: 平装              丛书: 福克纳文集                          ISBN: 9787532733026","[美]            福克纳",,"福克纳                  小说                  意识流                  美国文学                  威廉·福克纳                  外国文学                  美国                  我弥留之际  ","福克纳","小说","意识流","美国文学","威廉·福克纳","外国文学","美国","我弥留之际"
"一天","https://img3.doubanio.com/view/subject/l/public/s7018215.jpg","作者:                         [英]            大卫·尼克斯                  出版社: 南海出版公司                                  原作名: One Day                     译者:                        王臻                  出版年: 2012-1              页数: 384              定价: 29.80元              装帧: 平装              丛书: 青鸟文丛                          ISBN: 9787544252119","[英]            大卫·尼克斯","★ 安妮·海瑟薇主演电影One Day原著","爱情                  小说                  电影原著                  英国文学                  一天                  外国文学                  大卫·尼克斯                  英国  ","爱情","小说","电影原著","英国文学","一天","外国文学","大卫·尼克斯","英国"
"天使与魔鬼","https://img3.doubanio.com/view/subject/l/public/s1914485.jpg","作者:                         [美]            丹·布朗                  出版社: 人民文学出版社              出品方: 99读书人                        原作名: Angels & Demons                     译者:                        朱振武                   /                王巧俐                   /                信艳                  出版年: 2005-2              页数: 428              定价: 29.80元              装帧: 平装              丛书: 99畅销文库                          ISBN: 9787020049929","[美]            丹·布朗",,"丹·布朗                  悬疑                  小说                  宗教                  推理                  天使与魔鬼                  美国                  外国文学  ","丹·布朗","悬疑","小说","宗教","推理","天使与魔鬼","美国","外国文学"
"好兆头","https://img1.doubanio.com/view/subject/l/public/s3233679.jpg","作者:                         [英]            特里·普拉切特          /                        [英]            尼尔·盖曼                  出版社: 四川科学技术出版社                                                   译者:                        马骁                  出版年: 2008              页数: 290              定价: 26.0              装帧: 平装              丛书: 世界奇幻大师丛书                          ISBN: 9787536465251","[英]            特里·普拉切特","主角之一名叫克鲁利，穿着时尚，开的车是本特利，除了毁灭人类之外没有固定工作——因为他是魔王撒旦的手下。","尼尔·盖曼                  奇幻                  小说                  特里·普拉切特                  英国                  科幻                  外国文学                  NeilGaiman  ","尼尔·盖曼","奇幻","小说","特里·普拉切特","英国","科幻","外国文学","NeilGaiman"
"且将生活一饮而尽","https://img3.doubanio.com/view/subject/l/public/s28323823.jpg","作者:                     李座峰                  出版社: 中国华侨出版社                                                      出版年: 2015-11-1              页数: 304              定价: 36.80              装帧: 平装                                    ISBN: 9787511356949","李座峰","文章是作者李座峰一年多来发在微博上的热门内容“来，我跟你说个人”系列的精选集，从将近100多个人物故事中，收录了33个精彩的故事，囊括了社会中各个层面的人物，描写了他们的生活状态，文章在微博连载时受到广泛欢迎，读者评价为“好久没看过这么引人深思的短篇小说”“当代三言二拍”。","我想读这本书                  生活                  小说                  有趣                  好书，值得一读                  李座峰                  成长                  感觉是条汉子！  ","我想读这本书","生活","小说","有趣","好书，值得一读","李座峰","成长","感觉是条汉子！"
"不干了！我开除了黑心公司","https://img1.doubanio.com/view/subject/l/public/s29469538.jpg","作者:                        [日] 北川惠海                  出版社: 百花洲文艺出版社                                                   译者:                        古晓雯                  出版年: 2017-6              页数: 178              定价: 25.00元              装帧: 平装                                    ISBN: 9787550022362",,"饱受黑心公司摧残，身心俱疲的青山隆在跳轨自杀时，被名为“YAMAMOTO”的男子拯救了。隆对这位自称是他小学同学的男子敞开了心扉，却在受到对方不少帮助后发现真正的同学正旅居海外。隆不明白这个与自己素不相识的人为什么要帮助自己。当他用男子的名字在网络上搜寻后，发现一则男子在三年前因工作繁重而自杀的新闻。原来，真正的山本早在三年前就因为繁重的工作自杀了……","日本                  小说                  轻小说                  日本文学                  生活                  好书，值得一读                  【可信/不可信】                  治愈  ","日本","小说","轻小说","日本文学","生活","好书，值得一读","【可信/不可信】","治愈"
"巴托比症候群","https://img3.doubanio.com/view/subject/l/public/s28351155.jpg","作者:                         [西]            恩里克·比拉-马塔斯                  出版社: 上海人民出版社              出品方: 世纪文景                        原作名: Bartleby y compañía                     译者:                        蔡琬梅                  出版年: 2015-3              页数: 274              定价: 45.00元              装帧: 精装                                    ISBN: 9787208125131","[西]            恩里克·比拉-马塔斯",,"小说                  西班牙                  西班牙文学                  恩里克·比拉-马塔斯                  外国文学                  文学                  拉美文学                  比拉-马塔斯  ","小说","西班牙","西班牙文学","恩里克·比拉-马塔斯","外国文学","文学","拉美文学","比拉-马塔斯"
"守望灯塔","https://img3.doubanio.com/view/subject/l/public/s1486925.jpg","作者:                         [英]            珍妮特·温特森                  出版社: 人民文学出版社                                  原作名: Lighthousekeeping                     译者:                        侯毅凌                  出版年: 2005-12              页数: 201              定价: 17.00              装帧: 平装              丛书: 21世纪年度最佳外国小说                          ISBN: 9787020054251","[英]            珍妮特·温特森","《灯塔守望》是“2l世纪年度最佳外国小说”评选中2004年度英国文学入选作品。女主人公银儿是一个孤儿，飘无定所，由瞎子普尤收养。普尤是拉斯角的灯塔看守人，行踪神秘，给银儿讲述了许多跨越时空的旅行故事。这些故事围绕巴比·达克展开，他是一个十九世纪的牧师，一生过着一半光明一半黑暗的生活。达克的故事在银儿看来，是她自己穿越黑暗的一张地图，与她自己的故事交织在一起，最终通向了爱情，成就了一个娓娓动听的爱情故事。本书用诗一般的语言，讲故事的手法，创造了一个现代寓言。","英国                  小说                  珍妮特·温特森                  外国文学                  守望灯塔                  英国文学                  Jeanette-Winterson                  爱情  ","英国","小说","珍妮特·温特森","外国文学","守望灯塔","英国文学","Jeanette-Winterson","爱情"
"我还是很喜欢你","https://img1.doubanio.com/view/subject/l/public/s29087857.jpg","作者:                     苏豆芽                  出版社: 长江文艺出版社                                                      出版年: 2016-10-19              页数: 280              定价: 36.00              装帧: 平装                                    ISBN: 9787535491459","苏豆芽",,"我还是很喜欢你                  爱情                  青春文学                  小说                  青春                  故事                  暖床故事                  中国文学  ","我还是很喜欢你","爱情","青春文学","小说","青春","故事","暖床故事","中国文学"
"芬尼根的守灵夜（第一卷）","https://img3.doubanio.com/view/subject/l/public/s27981746.jpg","作者:                         [爱尔兰]            詹姆斯·乔伊斯                  出版社: 上海人民出版社                                  原作名: Finnegans Wake                     译者:                        戴从容                  出版年: 2012-11-1              页数: 775              定价: 128.00元              装帧: 精装                                    ISBN: 9787208109193","[爱尔兰]            詹姆斯·乔伊斯","这部小说描述了一个夜晚梦境，具有“迷宫”一样的文学结构，通篇充满了意识流。作者乔伊斯甚至发明了一种在世界语言史上绝无仅有的“梦语”。整部书中最有名的一个单词，就是乔伊斯用100个英文字母拼成的“雷击”一词，模拟雷声隆隆不断。 更令人惊叹的是，这部小说的第一句“写在最后一页上”，而最后一句则“写在第一页上”。据称，这体现了作者乔伊斯对“历史循环”观点的赞同。当人们读到最后一句的时候，才发现又回到了小说的开头。在作品完成之际，乔伊斯放言说，阅读《芬尼根的守灵夜》是一个永远无法完成的过程，而“这本书至少可以让评论家忙上三百年”。","乔伊斯                  外国文学                  小说                  詹姆斯·乔伊斯                  爱尔兰                  装逼文艺青中老年必备                  爱尔兰文学                  文学  ","乔伊斯","外国文学","小说","詹姆斯·乔伊斯","爱尔兰","装逼文艺青中老年必备","爱尔兰文学","文学"
"北美殉道者花园","https://img3.doubanio.com/view/subject/l/public/s29140263.jpg","作者:                        [美] 托拜厄斯·沃尔夫                  出版社: 译林出版社                                  原作名: In The Garden Of The North American Martyrs                     译者:                        孙仲旭                  出版年: 2016-10              页数: 230              定价: 35.00              装帧: 精装                                    ISBN: 9787544752565",,"《北美殉道者花园》由12篇故事组成，描绘了生活中那些郁郁寡欢、不得志的平凡人，用深沉的笔触将读者带入一个难以逃离、触动人心的灰暗世界。以谎言描绘自己家庭生活的少年，面对抗议的听众讲出自己心声的女教授，与搭便车的旅行者产生不愉快经历的孤独者，乘船游览共度金婚纪念日却各怀心 事的老年夫妇…小说中的人物跌跌撞撞却坚决果敢地寻找“人生正确道路”。该书是托拜厄斯·沃尔夫最受读者和评论界喜爱的短篇小说集。","美国文学                  小说                  短篇小说集                  托马斯·沃尔夫                  美国                  外国文学                  孙仲旭                  文学  ","美国文学","小说","短篇小说集","托马斯·沃尔夫","美国","外国文学","孙仲旭","文学"
"审判","https://img3.doubanio.com/view/subject/l/public/s1877605.jpg","作者:                         [奥地利]            弗朗茨·卡夫卡                  出版社: 上海文艺出版社                                                   译者:                        曹庸                  出版年: 2006-5              页数: 332              定价: 35.00元              装帧: 平装              丛书: 插图版经典译丛                          ISBN: 9787532128389","[奥地利]            弗朗茨·卡夫卡","弗兰茨·卡夫卡，奥地利小说家，西方现代派文学大师。他在文学史上第一次深刻而逼真地书写了人的异化、孤独与危机感，以及世界的荒诞与非理性。他性情敏感、怯懦和孤僻，生前默默无闻，去世后作品引起了世界范围的震动，“卡夫卡热”经久不衰，对后世文学产生难以估量的影响。《审判》是卡夫卡最为著名的长篇代表作，书写了西方现代国家机器的残酷和腐朽，以及普通人生存之中无处逃避的荒诞与恐惧，被称为“后世无法逾越，必读不可的小说经典。”","卡夫卡                  小说                  外国文学                  奥地利                  审判                  现代主义                  表现主义                  文学  ","卡夫卡","小说","外国文学","奥地利","审判","现代主义","表现主义","文学"
"哈利·波特与阿兹卡班的囚徒","https://img3.doubanio.com/view/subject/l/public/s1074376.jpg","作者:                         [英]            J·K·罗琳                  出版社: 人民文学出版社                                  原作名: Harry Potter and the Prisoner of Azkaban                     译者:                        郑须弥                  出版年: 2000-9              页数: 259              定价: 26.50元              装帧: 平装              丛书: 哈利·波特                          ISBN: 9787020033454","[英]            J·K·罗琳","《哈利·波特与阿兹卡班的囚徒》是“哈利·波特”系列的第三部。","哈利波特                  J.K.罗琳                  魔幻                  小说                  英国                  外国文学                  哈利·波特                  HarryPotter  ","哈利波特","J.K.罗琳","魔幻","小说","英国","外国文学","哈利·波特","HarryPotter"
"13 67","https://img3.doubanio.com/view/subject/l/public/s27309424.jpg","作者:                        陳浩基                  出版社: 皇冠                                                      出版年: 2014-6-9              页数: 496              定价: NT$350              装帧: 平装                                    ISBN: 9789573330806",,,"推理                  推理小说                  香港                  陈浩基                  香港推理                  小说                  陳浩基                  犯罪  ","推理","推理小说","香港","陈浩基","香港推理","小说","陳浩基","犯罪"
"希区柯克悬念故事集","https://img3.doubanio.com/view/subject/l/public/s4064512.jpg","作者:                         [美]            阿尔弗雷德·希区柯克                  出版社: 中央编译出版社                                            译者:                     王强                  出版年: 2009-9              页数: 740              定价: 68.00元              装帧: 精装                                    ISBN: 9787511700131","[美]            阿尔弗雷德·希区柯克","《希区柯克悬念故事集(软精装·典藏版)》内容简介：希区柯克对杀人狂的一段评论，很典型地表明了他对这类人的态度，他说：“人们常常认为，罪犯与普通人是大不相同的。但就我个人的经验而言，罪犯通常都是相当平庸的人，而且非常乏味，他们比我们日常生活中遇到的那些遵纪守法的老百姓更无特色，更引不起人们的兴趣。罪犯实际上是一些相当笨的人，他们的动机也常常很简单、很俗气”。","希区柯克                  悬疑                  推理                  小说                  外国文学                  短篇小说                  美国                  经典  ","希区柯克","悬疑","推理","小说","外国文学","短篇小说","美国","经典"
"暗杀大师：寻找伦勃朗","https://img3.doubanio.com/view/subject/l/public/s28939066.jpg","作者:                         [美]            丹尼尔·席尔瓦                  出版社: 江苏凤凰文艺出版社                                  原作名: The Rembrandt Affair                     译者:                        万丽莹                   /                陈磊                  出版年: 2016-7-29              页数: 424              定价: 42.00元              装帧: 平装              丛书: 读客外国小说文库：暗杀大师系列                          ISBN: 9787539993621","[美]            丹尼尔·席尔瓦",,"悬疑                  暗杀大师                  丹尼尔·席尔瓦                  小说                  悬疑小说                  国家阴谋系列                  美国文学                  加百列  ","悬疑","暗杀大师","丹尼尔·席尔瓦","小说","悬疑小说","国家阴谋系列","美国文学","加百列"
"忧伤的时候，到厨房去","https://img1.doubanio.com/view/subject/l/public/s28070058.jpg","作者:                         [土耳其]            爱诗乐·沛克                  出版社: 北京联合出版公司                                  原作名: soufflé                     译者:                        韩玲                  出版年: 2015-6              页数: 312              定价: 38.00元              装帧: 平装                                    ISBN: 9787550242074","[土耳其]            爱诗乐·沛克",,"治愈                  厨房                  美食                  小说                  温暖                  我想读这本书                  食物                  土耳其文学  ","治愈","厨房","美食","小说","温暖","我想读这本书","食物","土耳其文学"
"魔法坏女巫","https://img3.doubanio.com/view/subject/l/public/s29406055.jpg","作者:                        [美] 格雷戈里·马奎尔(Gregory Maguire）                  出版社: 中信出版社/中信·大方              出品方: 中信·大方              副标题: 西方坏女巫的一生              原作名: Wicked: The Life and Times of the Wicked Witch of the West                     译者:                        王林园                  出版年: 2017-4-20              页数: 504              定价: 48.00元              装帧: 平装              丛书: “魔法坏女巫”四部曲                          ISBN: 9787508673479","中信·大方",,"奇幻                  魔幻                  小说                  美国                  外国小说                  格雷戈里·马奎尔                  文学                  音乐剧  ","奇幻","魔幻","小说","美国","外国小说","格雷戈里·马奎尔","文学","音乐剧"
"张爱玲文集","https://img3.doubanio.com/view/subject/l/public/s1662165.jpg","作者:                     张爱玲                    出版社: 安徽文艺出版社                                                      出版年: 1992年              页数: 4册              定价: 45元              装帧: 平装                                    ISBN: 9787539605951","张爱玲",,"张爱玲                  张爱玲文集                  小说                  中国文学                  经典                  文学                  散文                  现代文学  ","张爱玲","张爱玲文集","小说","中国文学","经典","文学","散文","现代文学"
"我的团长我的团（上部）","https://img3.doubanio.com/view/subject/l/public/s3510333.jpg","作者:                     兰晓龙                  出版社: 新星出版社                                                      出版年: 2009-1              页数: 355              定价: 35.00              装帧: 平装              丛书: 我的团长我的团                          ISBN: 9787802254817","兰晓龙","抗战末期，一群溃败下来的国民党士兵聚集在西南小镇禅达的收容所里，他们被几年来国土渐次沦丧型得毫无斗志，只想苟且偷生。他们混日子，他们不愿面对自己内心存有的梦：那就是再跟日本人打一仗，像个真正的军人那样，打败日本人。他们行尸走肉般活着。","兰晓龙                  我的团长我的团                  小说                  远征军                  战争                  中国                  缅北之战                  中国文学  ","兰晓龙","我的团长我的团","小说","远征军","战争","中国","缅北之战","中国文学"
"权力与荣耀","https://img3.doubanio.com/view/subject/l/public/s2866344.jpg","作者:                     格雷厄姆·格林                  出版社: 上海译文出版社                                  原作名: The Power and the Glory              译者:                     傅惟慈                  出版年: 2007              页数: 312              定价: 36.00元              装帧: 精装              丛书: 格雷厄姆·格林文集                          ISBN: 9787532743872","格雷厄姆·格林","《权力与荣耀(格雷厄姆.格林文集)》主要内容：一场反教会的革命席卷了墨西哥，波及到了偏远的南方小州。当地教区的神父们被迫害致死，只剩下了最后一名神父过着逃亡的生活。在逃亡的过程中，他接触到了不同的事物和人，心灵上受到强烈的冲击。最后，他也没有逃脱死亡的厄运，但此时，另一名神父又踏上了这片土地。","格雷厄姆-格林                  小说                  英国                  格雷厄姆·格林                  英国文学                  外国文学                  权利与荣耀                  文学  ","格雷厄姆-格林","小说","英国","格雷厄姆·格林","英国文学","外国文学","权利与荣耀","文学"
"丙申故事集","https://img1.doubanio.com/view/subject/l/public/s29412269.jpg","作者:                     弋舟                  出版社: 中信出版集团              出品方: 中信·大方                                            出版年: 2017-5              页数: 194              定价: 40              装帧: 精装              丛书: 中信大方·弋舟作品系列                          ISBN: 9787508673035","弋舟","※","小说                  弋舟                  中国文学                  文学                  当代文学                  中国                  2017                  好书，值得一读  ","小说","弋舟","中国文学","文学","当代文学","中国","2017","好书，值得一读"
"精神科的故事：空中秋千","https://img3.doubanio.com/view/subject/l/public/s28939295.jpg","作者:                         [日]            奥田英朗                  出版社: 南海出版公司                                  原作名: 空中ブランコ                     译者:                        王维幸                  出版年: 2016-8              页数: 254              定价: 39.50元              装帧: 精装              丛书: 新经典文库·奥田英朗作品                          ISBN: 9787544283946","[日]            奥田英朗",,"精神科的故事                  日本文学                  奥田英朗                  日本                  我想读这本书                  小说                  心理学                  真心想读  ","精神科的故事","日本文学","奥田英朗","日本","我想读这本书","小说","心理学","真心想读"
"人性的枷锁","https://img3.doubanio.com/view/subject/l/public/s28758331.jpg","作者:                         [英]            威廉·萨默塞特·毛姆                  出版社: 江西人民出版社                                            译者:                     张乐                  出版年: 2016-5              页数: 664              定价: 68.00元              装帧: 平装                                    ISBN: 9787210082903","[英]            威廉·萨默塞特·毛姆",,"毛姆                  英国文学                  人生                  小说                  成长                  经典                  外国文学                  好书，值得一读  ","毛姆","英国文学","人生","小说","成长","经典","外国文学","好书，值得一读"
"三体全集","https://img3.doubanio.com/view/subject/l/public/s28357056.jpg","作者:                     刘慈欣                  出版社: 重庆出版社                        副标题: 地球往事三部曲                                  出版年: 2012-1-1              页数: 1285              定价: 168.00元              装帧: 精装              丛书: 科幻世界·中国科幻基石丛书                          ISBN: 9787229042066","刘慈欣",,"科幻                  刘慈欣                  中国科幻                  三体                  小说                  科幻小说                  中国                  经典  ","科幻","刘慈欣","中国科幻","三体","小说","科幻小说","中国","经典"
"古拉格群岛（上中下）","https://img1.doubanio.com/view/subject/l/public/s1323837.jpg","作者:                         [俄]            亚历山大·索尔仁尼琴                  出版社: 群众出版社                                  原作名: Архипелаг ГУЛАГ                     译者:                        田大畏 等                  出版年: 1996-12              页数: 3册              定价: 96.00元              装帧: 平装                                    ISBN: 9787501410514","[俄]            亚历山大·索尔仁尼琴",,"索尔仁尼琴                  俄罗斯                  历史                  反乌托邦                  政治                  小说                  俄罗斯文学                  外国文学  ","索尔仁尼琴","俄罗斯","历史","反乌托邦","政治","小说","俄罗斯文学","外国文学"
"雾中回忆","https://img1.doubanio.com/view/subject/l/public/s28719298.jpg","作者:                         [澳]            凯特·莫顿                  出版社: 江苏凤凰文艺出版社                                  原作名: The Shifting Fog                     译者:                        廖素珊                  出版年: 2016-6-1              页数: 536              定价: 52.00元              装帧: 平装              丛书: 读客全球顶级畅销小说文库：凯特·莫顿作品                          ISBN: 9787539991320","[澳]            凯特·莫顿",,"小说                  外国文学                  凯特·莫顿                  澳大利亚                  爱情                  文学                  悬疑                  外国小说  ","小说","外国文学","凯特·莫顿","澳大利亚","爱情","文学","悬疑","外国小说"
"时间与河流","https://img3.doubanio.com/view/subject/l/public/s4620010.jpg","作者:                         [美]            托马斯·沃尔夫                  出版社: 人民文学出版社                        副标题: 青年渴望的传奇故事                               译者:                        颜学军                  出版年: 2011-1              页数: 808页              定价: 64.00元              装帧: 平装              丛书: 托马斯·沃尔夫小说全系列                          ISBN: 9787020078783","[美]            托马斯·沃尔夫","本书是《天使，望故乡》的续集，讲述了主人公尤金·甘特在哈佛大学学习，后回到纽约任教，又去欧洲旅行的经历。","托马斯·沃尔夫                  美国文学                  小说                  时间与河流                  外国文学                  美国                  Thomas_Wolfe                  沃尔夫  ","托马斯·沃尔夫","美国文学","小说","时间与河流","外国文学","美国","Thomas_Wolfe","沃尔夫"
"手机里的男朋友","https://img1.doubanio.com/view/subject/l/public/s28325507.jpg","作者:                     方慧                  出版社: 北京联合出版公司                        副标题: 方慧首部短篇小说集                                  出版年: 2015-10-1              页数: 234              定价: CNY 38.00              装帧: 平装                                    ISBN: 9787550263864","方慧",,"我想读这本书                  手机里的男朋友                  小说                  短篇小说                  方慧                  好书，值得一读                  随笔                  轻小说  ","我想读这本书","手机里的男朋友","小说","短篇小说","方慧","好书，值得一读","随笔","轻小说"
"一地鸡毛","https://img1.doubanio.com/view/subject/l/public/s2529478.jpg","作者:                     刘震云                  出版社: 长江文艺出版社                                                      出版年: 2004-03              页数: 276              定价: 18.00              装帧: 平装                                    ISBN: 9787535427298","刘震云","旧作集《一地鸡毛》绝无仅有的反映小市民真实生活,收集了刘震云自认为最好的短篇《土塬鼓点后：理查德.克莱德曼》、中篇《温故一九四二》、长篇《口信》。刘震云说，重新出这本集子，有了一个看自己过去作品的机会，他看到了自己身体的变化。","刘震云                  小说                  一地鸡毛                  中国文学                  新写实主义                  当代文学                  生活                  中国  ","刘震云","小说","一地鸡毛","中国文学","新写实主义","当代文学","生活","中国"
"中国特色的译文读者","https://img3.doubanio.com/view/subject/l/public/s29113141.jpg","作者:                     沈诞琦                  出版社: 浦睿文化·湖南文艺出版社              出品方: 浦睿文化                                            出版年: 2016-10-1              页数: 308              定价: 45.00元              装帧: 平装                                    ISBN: 9787540477844","沈诞琦",,"沈诞琦                  小说                  文学                  当代文学                  中国文学                  中国                  玑衡                  短篇小说  ","沈诞琦","小说","文学","当代文学","中国文学","中国","玑衡","短篇小说"
"隐秘的幸福","https://img1.doubanio.com/view/subject/l/public/s28608609.jpg","作者:                         [巴西]            克拉丽丝·李斯佩克朵                  出版社: 上海文艺出版社              出品方: 99读书人                        原作名: Felicidade Clandestina                     译者:                        闵雪飞                  出版年: 2016-6              页数: 163              定价: 25.00              装帧: 平装              丛书: 短经典                          ISBN: 9787532160051","[巴西]            克拉丽丝·李斯佩克朵","《隐秘的幸福》是巴西现代经典作家、被誉为“卡夫卡之后最重要的犹太作家”克拉丽丝•李斯佩克朵的短篇小说代表作，收录24个短篇，故事简单，具有浓厚的哲学意蕴，主题彼此各异，表现方式也不尽相同，但都隐约指向一个共同的方向：探寻自我抑或自我意识的建立，囊括了克拉丽丝所关注的一切要素：自我、真实、存在、起源、时间、母性、表达……","克拉丽丝·李斯佩克朵                  巴西                  小说                  外国文学                  拉美文学                  短篇小说                  短经典                  巴西文学  ","克拉丽丝·李斯佩克朵","巴西","小说","外国文学","拉美文学","短篇小说","短经典","巴西文学"
"被束缚的人","https://img1.doubanio.com/view/subject/l/public/s29431269.jpg","作者:                         [奥地利]            伊尔泽·艾辛格尔                  出版社: 人民文学出版社                                                   译者:                        胡蔚                   /                章鹏高                   /                齐快鸽                  出版年: 2017-2              页数: 160              定价: 23.00元              装帧: 平装              丛书: 蜂鸟文丛                          ISBN: 9787020117321","[奥地利]            伊尔泽·艾辛格尔","短篇小说集《被束缚的人》（1953）是艾兴格尔早期创作的高峰。收录了1948年至1952年的十二篇作品。","伊尔泽·艾辛格尔                  奥地利                  小说                  奥地利文学                  短篇小说                  外国文学                  德语文学                  文学  ","伊尔泽·艾辛格尔","奥地利","小说","奥地利文学","短篇小说","外国文学","德语文学","文学"
"浮生若梦1","https://img3.doubanio.com/view/subject/l/public/s10425510.jpg","作者:                     缪娟                  出版社: 湖南文艺出版社                        副标题: 最后的王公                                  出版年: 2012-7              页数: 368              定价: 29.80元              装帧: 平装              丛书: 优阅吧                          ISBN: 9787540456115","缪娟","缪娟殿堂级新作“浮生若梦三部曲”华美登场","缪娟                  言情                  小说                  浮生若梦1：最后的王公                  清末乱世                  民国                  爱情                  浮生若梦  ","缪娟","言情","小说","浮生若梦1：最后的王公","清末乱世","民国","爱情","浮生若梦"
